feature,wape_increase
margin_365d,0.5034330066601328
average_order_value_365d,0.020726049063649055
revenue_90d,0.014449323094491096
revenue_365d,0.006807268987241266
recency_days,0.0029806971198219068
margin_180d,0.0029800022680576133
average_discount_365d,0.0020558011234563245
return_rate_365d,0.002004489970315604
revenue_180d,0.001962330080071628
margin_momentum_90d,0.001563652669624216
category_diversity_365d,0.000369205399498973
acquisition_channel,0.0
tenure_days,0.0
region,0.0
orders_90d,0.0
orders_30d,0.0
orders_365d,0.0
orders_180d,0.0
margin_previous_90d,0.0
margin_90d,0.0
active_months_365d,0.0
recent_order_share,0.0
