customer_id,snapshot_date,acquisition_channel,region,tenure_days,recency_days,orders_30d,orders_90d,orders_180d,orders_365d,revenue_90d,revenue_180d,revenue_365d,margin_90d,margin_previous_90d,margin_180d,margin_365d,average_order_value_365d,average_discount_365d,return_rate_365d,category_diversity_365d,active_months_365d,margin_momentum_90d,recent_order_share,future_orders_180d,future_discounted_margin_180d,future_active_180d
C00001,2023-06-30,organic,central,698,57,0,2,2,4,140.66,140.66,186.0,-2.880000000000001,0.0,-2.880000000000001,-11.08,46.5,0.21625,0.5,3,3,-2.880000000000001,0.5,4,20.527188257633156,1
C00002,2023-06-30,paid_search,south,952,33,0,1,4,7,83.02,459.85,744.09,17.07,99.06,116.13,174.38,106.29857142857144,0.11754285714285714,0.0,5,5,-81.99000000000001,0.14285714285714285,5,107.3588888971925,1
C00003,2023-06-30,organic,south,554,39,0,1,1,3,70.99,70.99,183.22,15.35,0.0,15.35,33.480000000000004,61.07333333333333,0.07010000000000001,0.0,2,3,15.35,0.3333333333333333,0,0.0,0
C00004,2023-06-30,organic,north,1230,3,1,1,1,2,36.48,36.48,85.68,4.88,0.0,4.88,13.09,42.84,0.3303,0.0,2,2,4.88,0.5,4,25.060484114101747,1
C00005,2023-06-30,referral,west,1151,9,3,6,9,15,504.58,727.39,1301.8,120.22,49.98,170.2,215.36,86.78666666666666,0.13384666666666664,0.13333333333333333,5,8,70.24000000000001,0.4,12,221.4590687415147,1
C00006,2023-06-30,paid_search,north,569,297,0,0,0,4,0.0,0.0,185.68,0.0,0.0,0.0,28.14,46.42,0.112925,0.0,3,2,0.0,0.0,3,-24.679619345403488,1
C00007,2023-06-30,referral,south,1066,350,0,0,0,1,0.0,0.0,72.55,0.0,0.0,0.0,13.2,72.55,0.1953,0.0,1,1,0.0,0.0,1,6.384030418250951,1
C00008,2023-06-30,organic,west,1050,55,0,2,2,5,102.75,102.75,250.21,14.91,0.0,14.91,38.21,50.042,0.1853,0.0,3,4,14.91,0.4,3,32.873118194285354,1
C00009,2023-06-30,organic,central,699,13,1,3,4,18,199.51,242.68,1347.6000000000001,44.06,8.42,52.48,319.35,74.86666666666667,0.16169444444444445,0.0,5,9,35.64,0.16666666666666666,8,145.68101323035992,1
C00010,2023-06-30,paid_search,south,1138,11,2,3,3,8,268.64,268.64,623.16,1.5199999999999996,0.0,1.5199999999999996,83.64,77.895,0.1632375,0.125,4,6,1.5199999999999996,0.375,4,82.79805314511884,1
C00011,2023-06-30,paid_search,south,902,12,1,2,6,11,98.63,380.81,746.09,20.23,63.25,83.48,160.57999999999998,67.82636363636364,0.2120363636363636,0.0,4,9,-43.019999999999996,0.18181818181818182,6,57.13176750200601,1
C00012,2023-06-30,referral,south,1068,205,0,0,0,3,0.0,0.0,179.49,0.0,0.0,0.0,10.329999999999998,59.830000000000005,0.3068666666666667,0.3333333333333333,3,3,0.0,0.0,2,16.64636249861996,1
C00013,2023-06-30,organic,south,1132,39,0,3,4,10,214.99,306.87,730.12,39.05,16.88,55.93,139.5,73.012,0.14142,0.0,5,9,22.169999999999998,0.3,1,9.503478726251004,1
C00014,2023-06-30,referral,south,573,158,0,0,1,3,0.0,28.8,147.84,0.0,2.86,2.86,22.64,49.28,0.24523333333333333,0.0,2,2,-2.86,0.0,0,0.0,0
C00015,2023-06-30,referral,north,1131,13,2,3,4,11,270.26,312.15,896.79,64.92,6.6,71.52,176.66,81.52636363636363,0.19149090909090907,0.09090909090909091,4,7,58.32,0.2727272727272727,5,124.34404625407007,1
C00016,2023-06-30,paid_search,south,1208,19,2,5,9,13,318.46000000000004,530.09,763.46,66.92999999999999,-9.67,57.26,100.74,58.72769230769231,0.16276923076923078,0.15384615384615385,5,9,76.6,0.38461538461538464,7,71.5285053137084,1
C00017,2023-06-30,organic,north,785,12,1,1,1,7,124.22,124.22,960.6999999999999,30.43,0.0,30.43,197.78,137.24285714285713,0.1644857142857143,0.14285714285714285,4,4,30.43,0.14285714285714285,4,60.79426995427131,1
C00018,2023-06-30,paid_search,west,643,42,0,2,5,7,162.97,381.29,592.79,43.47,2.91,46.379999999999995,100.7,84.6842857142857,0.13855714285714285,0.14285714285714285,4,5,40.56,0.2857142857142857,5,113.65112256725955,1
