customer_id,acquisition_date,acquisition_channel,region
C00001,2021-08-01,organic,central
C00002,2020-11-20,paid_search,south
C00003,2021-12-23,organic,south
C00004,2020-02-16,organic,north
C00005,2020-05-05,referral,west
C00006,2021-12-08,paid_search,north
C00007,2020-07-29,referral,south
C00008,2020-08-14,organic,west
C00009,2021-07-31,organic,central
C00010,2020-05-18,paid_search,south
C00011,2021-01-09,paid_search,south
C00012,2020-07-27,referral,south
C00013,2020-05-24,organic,south
C00014,2021-12-04,referral,south
C00015,2020-05-25,referral,north
C00016,2020-03-09,paid_search,south
C00017,2021-05-06,organic,north
C00018,2021-09-25,paid_search,west
C00019,2020-04-03,organic,north
C00020,2021-05-31,affiliate,north
C00021,2021-01-29,paid_search,west
C00022,2021-08-28,referral,central
C00023,2020-04-02,paid_search,central
C00024,2021-12-13,paid_search,south
C00025,2021-03-27,affiliate,north
C00026,2021-09-06,paid_search,north
C00027,2020-09-21,referral,central
C00028,2021-11-19,organic,central
C00029,2021-04-02,referral,north
C00030,2020-04-02,affiliate,north
C00031,2021-11-04,referral,central
C00032,2021-08-03,paid_search,central
C00033,2020-08-07,referral,north
C00034,2021-02-02,organic,south
C00035,2020-10-10,affiliate,south
C00036,2021-01-31,organic,north
C00037,2021-12-05,organic,central
C00038,2021-10-18,paid_search,west
C00039,2020-06-06,organic,central
C00040,2021-12-10,paid_search,central
C00041,2020-11-15,affiliate,central
C00042,2021-05-29,organic,north
C00043,2021-07-11,affiliate,south
C00044,2020-12-18,organic,west
C00045,2020-11-29,affiliate,west
C00046,2020-11-29,affiliate,north
C00047,2021-09-21,paid_search,central
C00048,2020-10-09,affiliate,north
C00049,2020-07-23,referral,central
C00050,2020-09-20,affiliate,central
C00051,2020-05-22,paid_search,south
C00052,2020-10-12,paid_search,north
C00053,2020-03-24,affiliate,west
C00054,2020-03-06,organic,north
C00055,2021-06-12,affiliate,north
C00056,2020-02-26,organic,west
C00057,2021-02-18,affiliate,south
C00058,2021-07-23,organic,central
C00059,2021-06-12,organic,south
C00060,2020-11-21,referral,north
C00061,2020-05-21,referral,north
C00062,2021-11-10,referral,central
C00063,2021-09-01,referral,central
C00064,2021-03-22,paid_search,south
C00065,2020-03-04,organic,north
C00066,2020-01-26,organic,south
C00067,2020-08-18,paid_search,south
C00068,2020-04-24,organic,north
C00069,2021-09-20,referral,north
C00070,2020-05-30,organic,central
C00071,2020-07-25,organic,south
C00072,2021-12-13,organic,south
C00073,2021-08-20,organic,south
C00074,2020-06-08,organic,central
C00075,2020-10-06,affiliate,north
C00076,2021-01-11,organic,central
C00077,2021-04-29,paid_search,north
C00078,2021-11-14,referral,south
C00079,2021-09-27,paid_search,north
C00080,2021-12-14,affiliate,central
C00081,2020-01-30,paid_search,central
C00082,2020-06-21,organic,central
C00083,2021-02-14,organic,south
C00084,2020-02-05,referral,central
C00085,2020-09-16,paid_search,west
C00086,2020-04-22,organic,west
C00087,2021-11-12,paid_search,west
C00088,2020-02-16,referral,south
C00089,2020-04-18,affiliate,south
C00090,2020-05-22,paid_search,south
C00091,2020-04-18,referral,central
C00092,2021-02-19,affiliate,central
C00093,2020-09-22,paid_search,south
C00094,2021-10-28,organic,north
C00095,2020-07-09,organic,north
C00096,2021-01-27,referral,west
C00097,2021-04-26,paid_search,north
C00098,2021-04-01,paid_search,central
C00099,2021-08-04,paid_search,south
C00100,2020-05-27,organic,north
C00101,2021-01-05,affiliate,west
C00102,2021-08-07,organic,north
C00103,2021-09-22,affiliate,west
C00104,2021-03-26,paid_search,south
C00105,2021-04-20,organic,central
C00106,2021-09-22,organic,north
C00107,2021-04-01,affiliate,central
C00108,2021-11-23,organic,central
C00109,2020-04-03,organic,central
C00110,2020-09-10,affiliate,west
C00111,2020-03-22,organic,north
C00112,2020-03-07,paid_search,west
C00113,2020-12-10,organic,north
C00114,2020-06-13,referral,west
C00115,2020-10-24,organic,north
C00116,2020-11-15,organic,central
C00117,2021-03-29,organic,central
C00118,2021-11-21,organic,north
C00119,2021-09-12,organic,south
C00120,2020-10-03,organic,central
C00121,2020-08-25,organic,central
C00122,2021-07-16,paid_search,central
C00123,2020-03-31,referral,south
C00124,2021-01-29,organic,north
C00125,2020-11-04,organic,north
C00126,2020-05-13,referral,north
C00127,2021-03-26,referral,central
C00128,2020-08-22,affiliate,north
C00129,2020-05-15,organic,west
C00130,2021-04-21,paid_search,central
C00131,2020-05-07,organic,south
C00132,2021-05-06,organic,central
C00133,2020-04-28,paid_search,central
C00134,2020-11-13,paid_search,central
C00135,2021-08-12,organic,central
C00136,2020-06-15,paid_search,central
C00137,2021-07-14,organic,central
C00138,2021-06-10,organic,central
C00139,2021-10-20,affiliate,west
C00140,2020-05-03,referral,north
C00141,2021-06-06,organic,central
