order_id,customer_id,order_date,category,order_channel,net_revenue,contribution_margin,discount_ratio,returned
O0001494,C00050,2022-01-01,beauty,web,87.46,19.79,0.154,0
O0003513,C00098,2022-01-01,grocery,app,68.61,15.92,0.2543,0
O0003514,C00098,2022-01-01,fashion,app,126.08,34.45,0.1309,0
O0004365,C00123,2022-01-01,electronics,web,48.84,10.96,0.2894,0
O0006222,C00175,2022-01-01,grocery,web,62.75,12.52,0.0455,0
O0008821,C00245,2022-01-01,home,web,82.97,0.5,0.0843,1
O0008851,C00247,2022-01-01,beauty,web,36.5,3.03,0.183,0
O0009466,C00263,2022-01-01,fashion,web,112.11,23.58,0.022,0
O0010972,C00297,2022-01-01,electronics,web,65.38,11.03,0.2283,0
O0012606,C00350,2022-01-01,grocery,web,93.77,22.44,0.0461,0
O0012865,C00362,2022-01-01,grocery,app,63.44,14.39,0.1456,0
O0014448,C00403,2022-01-01,beauty,web,75.65,11.74,0.2001,0
O0017295,C00477,2022-01-01,grocery,app,98.88,22.64,0.1099,0
O0017297,C00477,2022-01-01,beauty,web,136.12,35.98,0.128,0
O0020773,C00568,2022-01-01,home,web,124.71,34.2,0.1952,0
O0021725,C00594,2022-01-01,beauty,web,70.01,13.43,0.2088,0
O0022166,C00611,2022-01-01,beauty,web,131.71,39.84,0.2144,0
O0022812,C00633,2022-01-01,electronics,assisted,66.93,17.54,0.0309,0
O0023290,C00647,2022-01-01,home,web,52.91,11.68,0.1383,0
O0023520,C00651,2022-01-01,beauty,app,55.39,11.6,0.2706,0
O0027047,C00742,2022-01-01,beauty,app,88.91,24.18,0.2324,0
O0029634,C00808,2022-01-01,grocery,app,99.26,30.79,0.0729,0
O0033073,C00906,2022-01-01,beauty,app,39.48,0.5,0.1925,1
O0034957,C00954,2022-01-01,grocery,web,73.54,17.04,0.065,0
O0035297,C00964,2022-01-01,grocery,web,132.46,39.15,0.0322,0
O0037026,C01010,2022-01-01,fashion,app,109.76,25.35,0.4048,0
O0037271,C01017,2022-01-01,grocery,app,97.76,0.5,0.0284,1
O0037592,C01030,2022-01-01,grocery,app,97.94,18.71,0.0645,0
O0038785,C01058,2022-01-01,grocery,web,38.47,6.39,0.2365,0
O0039885,C01092,2022-01-01,grocery,app,134.02,31.57,0.0163,0
O0041269,C01128,2022-01-01,grocery,app,47.21,4.96,0.0577,0
O0042306,C01161,2022-01-01,fashion,web,80.64,19.87,0.0692,0
O0043771,C01197,2022-01-01,home,app,140.63,30.7,0.0763,0
O0046031,C01253,2022-01-01,home,app,139.34,35.27,0.0968,0
O0046987,C01280,2022-01-01,fashion,web,63.58,12.81,0.0557,0
O0048054,C01311,2022-01-01,fashion,app,68.94,15.07,0.0812,0
O0049105,C01346,2022-01-01,fashion,app,93.55,14.77,0.0365,0
O0050158,C01371,2022-01-01,electronics,app,103.81,29.51,0.0476,0
O0050523,C01380,2022-01-01,fashion,app,108.49,25.67,0.2383,0
O0001739,C00057,2022-01-02,electronics,web,69.34,13.96,0.0856,0
O0002312,C00072,2022-01-02,fashion,app,28.67,3.42,0.2024,0
O0002419,C00075,2022-01-02,fashion,web,84.68,21.28,0.0664,0
O0003788,C00108,2022-01-02,home,web,81.62,17.44,0.0673,0
O0003974,C00112,2022-01-02,grocery,web,71.18,12.63,0.0379,0
O0004055,C00113,2022-01-02,beauty,web,73.25,14.84,0.1725,0
O0004255,C00118,2022-01-02,beauty,app,65.08,12.44,0.0742,0
O0005880,C00164,2022-01-02,beauty,web,50.51,11.04,0.2472,0
O0006223,C00175,2022-01-02,electronics,web,56.1,14.06,0.1723,0
O0006535,C00184,2022-01-02,grocery,web,59.36,13.29,0.1007,0
O0012121,C00333,2022-01-02,home,app,62.08,8.82,0.2214,0
O0012388,C00341,2022-01-02,grocery,app,70.41,15.91,0.1565,0
O0013222,C00371,2022-01-02,beauty,web,54.58,8.36,0.1472,0
O0014125,C00393,2022-01-02,home,app,46.89,8.63,0.2834,0
O0015761,C00441,2022-01-02,grocery,web,43.36,5.64,0.0753,0
O0016016,C00446,2022-01-02,fashion,web,52.15,11.59,0.3726,0
O0017450,C00482,2022-01-02,fashion,app,96.42,21.76,0.0536,0
O0017891,C00493,2022-01-02,grocery,app,66.71,13.4,0.088,0
O0018053,C00498,2022-01-02,electronics,app,59.95,10.56,0.0628,0
O0018702,C00516,2022-01-02,home,app,47.9,10.34,0.1837,0
O0020561,C00559,2022-01-02,beauty,app,69.2,12.54,0.45,0
O0021072,C00577,2022-01-02,home,app,85.67,14.45,0.2478,0
O0021649,C00593,2022-01-02,grocery,app,70.09,16.13,0.0804,0
O0022462,C00620,2022-01-02,beauty,web,56.39,11.87,0.2148,0
O0022843,C00634,2022-01-02,beauty,app,60.48,10.8,0.0955,0
O0024554,C00681,2022-01-02,beauty,app,100.33,24.16,0.1257,0
O0025297,C00701,2022-01-02,fashion,app,83.27,21.32,0.0555,0
O0025394,C00703,2022-01-02,home,app,87.29,20.18,0.0515,0
O0025641,C00709,2022-01-02,beauty,web,68.46,11.74,0.3006,0
O0025929,C00719,2022-01-02,electronics,app,98.2,23.62,0.0441,0
O0025957,C00721,2022-01-02,fashion,app,52.5,11.72,0.0194,0
O0027387,C00752,2022-01-02,beauty,app,83.51,18.03,0.1879,0
O0029139,C00796,2022-01-02,grocery,web,58.19,12.56,0.3109,0
O0029255,C00798,2022-01-02,fashion,web,55.21,15.56,0.1829,0
O0031623,C00870,2022-01-02,grocery,app,83.28,17.66,0.4003,0
O0033374,C00917,2022-01-02,fashion,app,69.29,15.79,0.163,0
O0033523,C00919,2022-01-02,home,app,58.13,10.68,0.0895,0
O0034533,C00941,2022-01-02,fashion,app,54.88,11.1,0.1941,0
O0035096,C00958,2022-01-02,beauty,app,61.84,14.57,0.3145,0
