predicted_value_decile,customers,raw_coverage,calibrated_coverage,raw_mean_width,calibrated_mean_width
1,140,0.6714285714285714,0.8357142857142857,26.417227429818134,35.1917464195221
2,140,0.7785714285714286,0.9,31.485304318377484,40.25982330808145
3,140,0.7571428571428571,0.8857142857142857,41.713065564732844,50.48758455443681
4,140,0.7428571428571429,0.8642857142857143,75.5524924877355,84.32701147743948
5,140,0.7714285714285715,0.8071428571428572,107.96749868405587,116.74201767375983
6,140,0.7428571428571429,0.8,129.0299044417431,137.80442343144705
7,140,0.7642857142857142,0.7928571428571428,134.2422986998346,143.01681768953858
8,140,0.7785714285714286,0.8142857142857143,143.8653173752405,152.63983636494447
9,140,0.7285714285714285,0.7571428571428571,152.38819673514178,161.16271572484573
10,140,0.7642857142857142,0.8,180.06371056725337,188.83822955695734
